# phi	rc	N	alpha	sigma	beta	lambda	mean_R0	stderr_R0
0.900000	2.500000	1000.0	1.000000	0.100000	0.200000	1.000000	8.629000	0.186669
0.900000	2.500000	1000.0	1.000000	0.100000	0.200000	2.000000	3.690000	0.097457
0.900000	2.500000	1000.0	1.000000	0.100000	0.400000	0.500000	9.288000	0.200168
0.900000	2.500000	1000.0	1.000000	0.100000	0.400000	1.500000	3.632000	0.099833
0.900000	2.500000	1000.0	1.000000	0.100000	0.600000	1.000000	4.405000	0.119578
0.900000	2.500000	1000.0	1.000000	0.100000	0.600000	2.000000	1.729000	0.061168
0.900000	2.500000	1000.0	1.000000	0.100000	0.800000	0.500000	6.318000	0.159301
0.900000	2.500000	1000.0	1.000000	0.100000	0.800000	1.000000	3.682000	0.108365
0.900000	2.500000	1000.0	1.000000	0.100000	0.800000	2.000000	1.296000	0.048522
0.900000	2.500000	1000.0	1.000000	0.100000	1.000000	1.000000	2.971000	0.093574
0.900000	2.500000	1000.0	1.000000	0.100000	1.000000	2.000000	1.080000	0.044041
0.900000	2.500000	1000.0	1.000000	0.100000	2.000000	1.000000	1.591000	0.063322
0.900000	2.500000	1000.0	1.000000	0.100000	4.000000	1.000000	0.950000	0.040786
0.900000	2.500000	1000.0	1.000000	0.100000	10.000000	1.000000	0.428000	0.023469
0.900000	2.500000	1000.0	1.000000	0.100000	10.000000	2.000000	0.122000	0.011538
0.900000	2.500000	1000.0	1.000000	0.135700	0.200000	1.000000	8.596000	0.183806
0.900000	2.500000	1000.0	1.000000	0.135700	0.200000	2.000000	3.900000	0.101479
0.900000	2.500000	1000.0	1.000000	0.135700	0.400000	0.500000	9.495000	0.194458
0.900000	2.500000	1000.0	1.000000	0.135700	0.400000	1.500000	3.670000	0.104638
0.900000	2.500000	1000.0	1.000000	0.135700	0.600000	1.000000	4.489000	0.123709
0.900000	2.500000	1000.0	1.000000	0.135700	0.600000	2.000000	1.703000	0.060206
0.900000	2.500000	1000.0	1.000000	0.135700	0.800000	0.500000	6.358000	0.160829
0.900000	2.500000	1000.0	1.000000	0.135700	0.800000	1.000000	3.589000	0.104862
0.900000	2.500000	1000.0	1.000000	0.135700	0.800000	2.000000	1.314000	0.050333
0.900000	2.500000	1000.0	1.000000	0.135700	1.000000	1.000000	3.098000	0.094934
0.900000	2.500000	1000.0	1.000000	0.135700	1.000000	2.000000	1.127000	0.046075
0.900000	2.500000	1000.0	1.000000	0.135700	2.000000	1.000000	1.728000	0.060564
0.900000	2.500000	1000.0	1.000000	0.135700	4.000000	1.000000	0.892000	0.037740
0.900000	2.500000	1000.0	1.000000	0.135700	10.000000	1.000000	0.367000	0.021962
0.900000	2.500000	1000.0	1.000000	0.135700	10.000000	2.000000	0.141000	0.012772
0.900000	2.500000	1000.0	1.000000	0.184100	0.200000	1.000000	9.057000	0.183733
0.900000	2.500000	1000.0	1.000000	0.184100	0.200000	2.000000	3.693000	0.095868
0.900000	2.500000	1000.0	1.000000	0.184100	0.400000	0.500000	9.563000	0.195146
0.900000	2.500000	1000.0	1.000000	0.184100	0.400000	1.500000	3.661000	0.102908
0.900000	2.500000	1000.0	1.000000	0.184100	0.600000	1.000000	4.797000	0.132287
0.900000	2.500000	1000.0	1.000000	0.184100	0.600000	2.000000	1.678000	0.059062
0.900000	2.500000	1000.0	1.000000	0.184100	0.800000	0.500000	6.287000	0.157856
0.900000	2.500000	1000.0	1.000000	0.184100	0.800000	1.000000	3.791000	0.113134
0.900000	2.500000	1000.0	1.000000	0.184100	0.800000	2.000000	1.344000	0.051397
0.900000	2.500000	1000.0	1.000000	0.184100	1.000000	1.000000	3.086000	0.096024
0.900000	2.500000	1000.0	1.000000	0.184100	1.000000	2.000000	1.107000	0.044312
0.900000	2.500000	1000.0	1.000000	0.184100	2.000000	1.000000	1.634000	0.060333
0.900000	2.500000	1000.0	1.000000	0.184100	4.000000	1.000000	1.008000	0.041904
0.900000	2.500000	1000.0	1.000000	0.184100	10.000000	1.000000	0.411000	0.023666
0.900000	2.500000	1000.0	1.000000	0.184100	10.000000	2.000000	0.117000	0.010923
0.900000	2.500000	1000.0	1.000000	0.249800	0.200000	1.000000	8.773000	0.178111
0.900000	2.500000	1000.0	1.000000	0.249800	0.200000	2.000000	3.650000	0.099937
0.900000	2.500000	1000.0	1.000000	0.249800	0.400000	0.500000	9.658000	0.200671
0.900000	2.500000	1000.0	1.000000	0.249800	0.400000	1.500000	3.606000	0.102053
0.900000	2.500000	1000.0	1.000000	0.249800	0.600000	1.000000	4.490000	0.125044
0.900000	2.500000	1000.0	1.000000	0.249800	0.600000	2.000000	1.636000	0.058099
0.900000	2.500000	1000.0	1.000000	0.249800	0.800000	0.500000	6.483000	0.162947
0.900000	2.500000	1000.0	1.000000	0.249800	0.800000	1.000000	3.790000	0.109517
0.900000	2.500000	1000.0	1.000000	0.249800	0.800000	2.000000	1.301000	0.048563
0.900000	2.500000	1000.0	1.000000	0.249800	1.000000	1.000000	2.959000	0.091615
0.900000	2.500000	1000.0	1.000000	0.249800	1.000000	2.000000	1.158000	0.045465
0.900000	2.500000	1000.0	1.000000	0.249800	2.000000	1.000000	1.657000	0.063240
0.900000	2.500000	1000.0	1.000000	0.249800	4.000000	1.000000	0.895000	0.038833
0.900000	2.500000	1000.0	1.000000	0.249800	10.000000	1.000000	0.419000	0.024848
0.900000	2.500000	1000.0	1.000000	0.249800	10.000000	2.000000	0.137000	0.012093
0.900000	2.500000	1000.0	1.000000	0.339000	0.200000	1.000000	9.088000	0.184381
0.900000	2.500000	1000.0	1.000000	0.339000	0.200000	2.000000	3.742000	0.099687
0.900000	2.500000	1000.0	1.000000	0.339000	0.400000	0.500000	9.682000	0.203904
0.900000	2.500000	1000.0	1.000000	0.339000	0.400000	1.500000	3.795000	0.109585
0.900000	2.500000	1000.0	1.000000	0.339000	0.600000	1.000000	4.704000	0.130217
0.900000	2.500000	1000.0	1.000000	0.339000	0.600000	2.000000	1.624000	0.058912
0.900000	2.500000	1000.0	1.000000	0.339000	0.800000	0.500000	6.554000	0.168104
0.900000	2.500000	1000.0	1.000000	0.339000	0.800000	1.000000	3.918000	0.113522
0.900000	2.500000	1000.0	1.000000	0.339000	0.800000	2.000000	1.428000	0.052046
0.900000	2.500000	1000.0	1.000000	0.339000	1.000000	1.000000	3.039000	0.097178
0.900000	2.500000	1000.0	1.000000	0.339000	1.000000	2.000000	1.110000	0.044765
0.900000	2.500000	1000.0	1.000000	0.339000	2.000000	1.000000	1.679000	0.065069
0.900000	2.500000	1000.0	1.000000	0.339000	4.000000	1.000000	0.964000	0.039984
0.900000	2.500000	1000.0	1.000000	0.339000	10.000000	1.000000	0.347000	0.021038
0.900000	2.500000	1000.0	1.000000	0.339000	10.000000	2.000000	0.124000	0.011074
0.900000	2.500000	1000.0	1.000000	0.460000	0.200000	1.000000	9.194000	0.198722
0.900000	2.500000	1000.0	1.000000	0.460000	0.200000	2.000000	3.874000	0.104719
0.900000	2.500000	1000.0	1.000000	0.460000	0.400000	0.500000	10.051000	0.213261
0.900000	2.500000	1000.0	1.000000	0.460000	0.400000	1.500000	3.783000	0.110489
0.900000	2.500000	1000.0	1.000000	0.460000	0.600000	1.000000	4.478000	0.126188
0.900000	2.500000	1000.0	1.000000	0.460000	0.600000	2.000000	1.667000	0.059381
0.900000	2.500000	1000.0	1.000000	0.460000	0.800000	0.500000	6.697000	0.172891
0.900000	2.500000	1000.0	1.000000	0.460000	0.800000	1.000000	4.004000	0.113049
0.900000	2.500000	1000.0	1.000000	0.460000	0.800000	2.000000	1.327000	0.049901
0.900000	2.500000	1000.0	1.000000	0.460000	1.000000	1.000000	3.225000	0.104156
0.900000	2.500000	1000.0	1.000000	0.460000	1.000000	2.000000	1.106000	0.044663
0.900000	2.500000	1000.0	1.000000	0.460000	2.000000	1.000000	1.713000	0.063958
0.900000	2.500000	1000.0	1.000000	0.460000	4.000000	1.000000	0.916000	0.040360
0.900000	2.500000	1000.0	1.000000	0.460000	10.000000	1.000000	0.385000	0.021697
0.900000	2.500000	1000.0	1.000000	0.460000	10.000000	2.000000	0.132000	0.011941
0.900000	2.500000	1000.0	1.000000	0.624200	0.200000	1.000000	10.041000	0.219265
0.900000	2.500000	1000.0	1.000000	0.624200	0.200000	2.000000	4.049000	0.109648
0.900000	2.500000	1000.0	1.000000	0.624200	0.400000	0.500000	10.231000	0.227089
0.900000	2.500000	1000.0	1.000000	0.624200	0.400000	1.500000	3.690000	0.104747
0.900000	2.500000	1000.0	1.000000	0.624200	0.600000	1.000000	4.710000	0.129614
0.900000	2.500000	1000.0	1.000000	0.624200	0.600000	2.000000	1.743000	0.061959
0.900000	2.500000	1000.0	1.000000	0.624200	0.800000	0.500000	6.771000	0.177912
0.900000	2.500000	1000.0	1.000000	0.624200	0.800000	1.000000	3.731000	0.111699
0.900000	2.500000	1000.0	1.000000	0.624200	0.800000	2.000000	1.536000	0.059638
0.900000	2.500000	1000.0	1.000000	0.624200	1.000000	1.000000	3.226000	0.100662
0.900000	2.500000	1000.0	1.000000	0.624200	1.000000	2.000000	1.230000	0.049791
0.900000	2.500000	1000.0	1.000000	0.624200	2.000000	1.000000	1.795000	0.065092
0.900000	2.500000	1000.0	1.000000	0.624200	4.000000	1.000000	0.985000	0.039709
0.900000	2.500000	1000.0	1.000000	0.624200	10.000000	1.000000	0.373000	0.021538
0.900000	2.500000	1000.0	1.000000	0.624200	10.000000	2.000000	0.111000	0.011605
0.900000	2.500000	1000.0	1.000000	0.847000	0.200000	1.000000	10.467000	0.235748
0.900000	2.500000	1000.0	1.000000	0.847000	0.200000	2.000000	4.522000	0.128443
0.900000	2.500000	1000.0	1.000000	0.847000	0.400000	0.500000	11.042000	0.261538
0.900000	2.500000	1000.0	1.000000	0.847000	0.400000	1.500000	4.131000	0.117439
0.900000	2.500000	1000.0	1.000000	0.847000	0.600000	1.000000	4.620000	0.141002
0.900000	2.500000	1000.0	1.000000	0.847000	0.600000	2.000000	1.813000	0.068235
0.900000	2.500000	1000.0	1.000000	0.847000	0.800000	0.500000	7.052000	0.183197
0.900000	2.500000	1000.0	1.000000	0.847000	0.800000	1.000000	4.031000	0.123126
0.900000	2.500000	1000.0	1.000000	0.847000	0.800000	2.000000	1.435000	0.055279
0.900000	2.500000	1000.0	1.000000	0.847000	1.000000	1.000000	3.235000	0.106863
0.900000	2.500000	1000.0	1.000000	0.847000	1.000000	2.000000	1.252000	0.049784
0.900000	2.500000	1000.0	1.000000	0.847000	2.000000	1.000000	1.860000	0.068413
0.900000	2.500000	1000.0	1.000000	0.847000	4.000000	1.000000	0.898000	0.040836
0.900000	2.500000	1000.0	1.000000	0.847000	10.000000	1.000000	0.407000	0.023693
0.900000	2.500000	1000.0	1.000000	0.847000	10.000000	2.000000	0.133000	0.011718
0.900000	2.500000	1000.0	1.000000	1.149300	0.200000	1.000000	11.626000	0.279084
0.900000	2.500000	1000.0	1.000000	1.149300	0.200000	2.000000	5.037000	0.142336
0.900000	2.500000	1000.0	1.000000	1.149300	0.400000	0.500000	12.077000	0.286864
0.900000	2.500000	1000.0	1.000000	1.149300	0.400000	1.500000	4.366000	0.128258
0.900000	2.500000	1000.0	1.000000	1.149300	0.600000	1.000000	4.952000	0.148478
0.900000	2.500000	1000.0	1.000000	1.149300	0.600000	2.000000	1.861000	0.069783
0.900000	2.500000	1000.0	1.000000	1.149300	0.800000	0.500000	7.067000	0.192677
0.900000	2.500000	1000.0	1.000000	1.149300	0.800000	1.000000	4.335000	0.125510
0.900000	2.500000	1000.0	1.000000	1.149300	0.800000	2.000000	1.469000	0.055363
0.900000	2.500000	1000.0	1.000000	1.149300	1.000000	1.000000	3.329000	0.102571
0.900000	2.500000	1000.0	1.000000	1.149300	1.000000	2.000000	1.166000	0.049663
0.900000	2.500000	1000.0	1.000000	1.149300	2.000000	1.000000	1.804000	0.064433
0.900000	2.500000	1000.0	1.000000	1.149300	4.000000	1.000000	0.951000	0.042879
0.900000	2.500000	1000.0	1.000000	1.149300	10.000000	1.000000	0.393000	0.023293
0.900000	2.500000	1000.0	1.000000	1.149300	10.000000	2.000000	0.137000	0.011926
0.900000	2.500000	1000.0	1.000000	1.559500	0.200000	1.000000	13.130000	0.327009
0.900000	2.500000	1000.0	1.000000	1.559500	0.200000	2.000000	5.505000	0.167398
0.900000	2.500000	1000.0	1.000000	1.559500	0.400000	0.500000	12.786000	0.315931
0.900000	2.500000	1000.0	1.000000	1.559500	0.400000	1.500000	4.469000	0.143760
0.900000	2.500000	1000.0	1.000000	1.559500	0.600000	1.000000	5.287000	0.160177
0.900000	2.500000	1000.0	1.000000	1.559500	0.600000	2.000000	1.977000	0.072073
0.900000	2.500000	1000.0	1.000000	1.559500	0.800000	0.500000	7.461000	0.220881
0.900000	2.500000	1000.0	1.000000	1.559500	0.800000	1.000000	4.064000	0.128918
0.900000	2.500000	1000.0	1.000000	1.559500	0.800000	2.000000	1.484000	0.060264
0.900000	2.500000	1000.0	1.000000	1.559500	1.000000	1.000000	3.194000	0.102705
0.900000	2.500000	1000.0	1.000000	1.559500	1.000000	2.000000	1.313000	0.055363
0.900000	2.500000	1000.0	1.000000	1.559500	2.000000	1.000000	1.837000	0.070827
0.900000	2.500000	1000.0	1.000000	1.559500	4.000000	1.000000	0.954000	0.044135
0.900000	2.500000	1000.0	1.000000	1.559500	10.000000	1.000000	0.378000	0.022652
0.900000	2.500000	1000.0	1.000000	1.559500	10.000000	2.000000	0.128000	0.011208
0.900000	2.500000	1000.0	1.000000	2.116100	0.200000	1.000000	13.595000	0.387591
0.900000	2.500000	1000.0	1.000000	2.116100	0.200000	2.000000	5.945000	0.184391
0.900000	2.500000	1000.0	1.000000	2.116100	0.400000	0.500000	14.305000	0.383330
0.900000	2.500000	1000.0	1.000000	2.116100	0.400000	1.500000	4.786000	0.150938
0.900000	2.500000	1000.0	1.000000	2.116100	0.600000	1.000000	5.902000	0.180284
0.900000	2.500000	1000.0	1.000000	2.116100	0.600000	2.000000	2.011000	0.074262
0.900000	2.500000	1000.0	1.000000	2.116100	0.800000	0.500000	8.016000	0.232753
0.900000	2.500000	1000.0	1.000000	2.116100	0.800000	1.000000	4.242000	0.146463
0.900000	2.500000	1000.0	1.000000	2.116100	0.800000	2.000000	1.649000	0.060414
0.900000	2.500000	1000.0	1.000000	2.116100	1.000000	1.000000	3.580000	0.115063
0.900000	2.500000	1000.0	1.000000	2.116100	1.000000	2.000000	1.360000	0.054133
0.900000	2.500000	1000.0	1.000000	2.116100	2.000000	1.000000	1.824000	0.068316
0.900000	2.500000	1000.0	1.000000	2.116100	4.000000	1.000000	0.933000	0.041935
0.900000	2.500000	1000.0	1.000000	2.116100	10.000000	1.000000	0.367000	0.022007
0.900000	2.500000	1000.0	1.000000	2.116100	10.000000	2.000000	0.125000	0.011974
0.900000	2.500000	1000.0	1.000000	2.871400	0.200000	1.000000	15.638000	0.444843
0.900000	2.500000	1000.0	1.000000	2.871400	0.200000	2.000000	6.102000	0.185934
0.900000	2.500000	1000.0	1.000000	2.871400	0.400000	0.500000	15.062000	0.436078
0.900000	2.500000	1000.0	1.000000	2.871400	0.400000	1.500000	5.040000	0.163096
0.900000	2.500000	1000.0	1.000000	2.871400	0.600000	1.000000	5.704000	0.184647
0.900000	2.500000	1000.0	1.000000	2.871400	0.600000	2.000000	2.052000	0.079870
0.900000	2.500000	1000.0	1.000000	2.871400	0.800000	0.500000	8.813000	0.271956
0.900000	2.500000	1000.0	1.000000	2.871400	0.800000	1.000000	4.731000	0.155018
0.900000	2.500000	1000.0	1.000000	2.871400	0.800000	2.000000	1.572000	0.065367
0.900000	2.500000	1000.0	1.000000	2.871400	1.000000	1.000000	3.850000	0.133796
0.900000	2.500000	1000.0	1.000000	2.871400	1.000000	2.000000	1.279000	0.054527
0.900000	2.500000	1000.0	1.000000	2.871400	2.000000	1.000000	1.756000	0.067234
0.900000	2.500000	1000.0	1.000000	2.871400	4.000000	1.000000	0.912000	0.039449
0.900000	2.500000	1000.0	1.000000	2.871400	10.000000	1.000000	0.401000	0.024621
0.900000	2.500000	1000.0	1.000000	2.871400	10.000000	2.000000	0.158000	0.012924
0.900000	2.500000	1000.0	1.000000	3.896200	0.200000	1.000000	17.965000	0.541610
0.900000	2.500000	1000.0	1.000000	3.896200	0.200000	2.000000	6.217000	0.210570
0.900000	2.500000	1000.0	1.000000	3.896200	0.400000	0.500000	15.788000	0.461095
0.900000	2.500000	1000.0	1.000000	3.896200	0.400000	1.500000	5.204000	0.172825
0.900000	2.500000	1000.0	1.000000	3.896200	0.600000	1.000000	6.466000	0.209172
0.900000	2.500000	1000.0	1.000000	3.896200	0.600000	2.000000	2.146000	0.080701
0.900000	2.500000	1000.0	1.000000	3.896200	0.800000	0.500000	9.035000	0.276289
0.900000	2.500000	1000.0	1.000000	3.896200	0.800000	1.000000	4.811000	0.162786
0.900000	2.500000	1000.0	1.000000	3.896200	0.800000	2.000000	1.640000	0.063956
0.900000	2.500000	1000.0	1.000000	3.896200	1.000000	1.000000	3.759000	0.137043
0.900000	2.500000	1000.0	1.000000	3.896200	1.000000	2.000000	1.307000	0.053747
0.900000	2.500000	1000.0	1.000000	3.896200	2.000000	1.000000	1.982000	0.076195
0.900000	2.500000	1000.0	1.000000	3.896200	4.000000	1.000000	0.899000	0.040875
0.900000	2.500000	1000.0	1.000000	3.896200	10.000000	1.000000	0.384000	0.022639
0.900000	2.500000	1000.0	1.000000	3.896200	10.000000	2.000000	0.143000	0.013287
0.900000	2.500000	1000.0	1.000000	5.286800	0.200000	1.000000	17.928000	0.553748
0.900000	2.500000	1000.0	1.000000	5.286800	0.200000	2.000000	6.701000	0.217130
0.900000	2.500000	1000.0	1.000000	5.286800	0.400000	0.500000	18.554000	0.574576
0.900000	2.500000	1000.0	1.000000	5.286800	0.400000	1.500000	5.283000	0.178356
0.900000	2.500000	1000.0	1.000000	5.286800	0.600000	1.000000	6.293000	0.202576
0.900000	2.500000	1000.0	1.000000	5.286800	0.600000	2.000000	2.172000	0.079476
0.900000	2.500000	1000.0	1.000000	5.286800	0.800000	0.500000	9.583000	0.302363
0.900000	2.500000	1000.0	1.000000	5.286800	0.800000	1.000000	4.988000	0.166030
0.900000	2.500000	1000.0	1.000000	5.286800	0.800000	2.000000	1.596000	0.064659
0.900000	2.500000	1000.0	1.000000	5.286800	1.000000	1.000000	3.686000	0.124110
0.900000	2.500000	1000.0	1.000000	5.286800	1.000000	2.000000	1.348000	0.056982
0.900000	2.500000	1000.0	1.000000	5.286800	2.000000	1.000000	1.998000	0.073417
0.900000	2.500000	1000.0	1.000000	5.286800	4.000000	1.000000	0.938000	0.040794
0.900000	2.500000	1000.0	1.000000	5.286800	10.000000	1.000000	0.405000	0.023430
0.900000	2.500000	1000.0	1.000000	5.286800	10.000000	2.000000	0.140000	0.011593
0.900000	2.500000	1000.0	1.000000	7.173800	0.200000	1.000000	19.132000	0.593168
0.900000	2.500000	1000.0	1.000000	7.173800	0.200000	2.000000	6.719000	0.229347
0.900000	2.500000	1000.0	1.000000	7.173800	0.400000	0.500000	19.577000	0.605891
0.900000	2.500000	1000.0	1.000000	7.173800	0.400000	1.500000	5.673000	0.191802
0.900000	2.500000	1000.0	1.000000	7.173800	0.600000	1.000000	6.216000	0.208349
