# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Relz	Step	Time	sigma	R0
0	1	0.0100	2
1	8	0.0800	1
2	14	0.1400	1
3	4	0.0400	1
4	10	0.1000	1
5	4	0.0400	1
6	1	0.0100	1
7	4	0.0400	1
8	5	0.0500	1
9	4	0.0400	1
10	1	0.0100	1
11	2	0.0200	1
12	34	0.3400	4
13	12	0.1200	1
14	6	0.0600	1
15	9	0.0900	1
16	8	0.0800	1
17	24	0.2400	1
18	12	0.1200	3
19	15	0.1500	1
20	7	0.0700	1
21	15	0.1500	1
22	7	0.0700	1
23	2	0.0200	1
24	15	0.1500	1
25	7	0.0700	1
26	13	0.1300	1
27	24	0.2400	1
28	2	0.0200	1
29	2	0.0200	1
30	3	0.0300	2
31	25	0.2500	3
32	15	0.1500	1
33	19	0.1900	1
34	34	0.3400	1
35	3	0.0300	1
36	22	0.2200	1
37	27	0.2700	3
38	29	0.2900	1
39	31	0.3100	4
40	2	0.0200	2
41	2	0.0200	1
42	23	0.2300	2
43	15	0.1500	2
44	15	0.1500	1
45	10	0.1000	1
46	8	0.0800	1
47	15	0.1500	1
48	1	0.0100	1
49	3	0.0300	1
50	4	0.0400	2
51	1	0.0100	1
52	4	0.0400	1
53	2	0.0200	1
54	35	0.3500	1
55	1	0.0100	1
56	1	0.0100	1
57	9	0.0900	1
58	3	0.0300	1
59	41	0.4100	2
60	14	0.1400	1
61	11	0.1100	2
62	6	0.0600	1
63	4	0.0400	2
64	10	0.1000	2
65	8	0.0800	1
66	6	0.0600	2
67	7	0.0700	1
68	7	0.0700	1
69	52	0.5200	7
70	21	0.2100	1
71	9	0.0900	3
72	1	0.0100	1
73	28	0.2800	1
74	13	0.1300	2
75	1	0.0100	1
76	5	0.0500	1
77	5	0.0500	1
78	13	0.1300	2
79	3	0.0300	2
80	10	0.1000	1
81	5	0.0500	1
82	12	0.1200	2
83	4	0.0400	1
84	20	0.2000	3
85	6	0.0600	1
86	17	0.1700	1
87	19	0.1900	1
88	6	0.0600	1
89	2	0.0200	1
90	9	0.0900	2
91	4	0.0400	1
92	2	0.0200	1
93	21	0.2100	5
94	3	0.0300	1
95	1	0.0100	1
96	16	0.1600	1
97	6	0.0600	1
98	1	0.0100	1
99	15	0.1500	1
100	1	0.0100	1
101	8	0.0800	2
102	6	0.0600	2
103	2	0.0200	1
104	6	0.0600	1
105	1	0.0100	1
106	7	0.0700	1
107	25	0.2500	1
108	7	0.0700	1
109	7	0.0700	1
110	1	0.0100	1
111	15	0.1500	2
112	27	0.2700	3
113	23	0.2300	2
114	10	0.1000	1
115	4	0.0400	2
116	9	0.0900	2
117	4	0.0400	1
118	23	0.2300	2
119	3	0.0300	1
120	12	0.1200	1
121	7	0.0700	1
122	13	0.1300	1
123	2	0.0200	1
124	4	0.0400	2
125	6	0.0600	1
126	9	0.0900	1
127	18	0.1800	2
128	19	0.1900	1
129	2	0.0200	2
130	39	0.3900	5
131	3	0.0300	1
132	12	0.1200	1
133	2	0.0200	1
134	6	0.0600	1
135	4	0.0400	1
136	8	0.0800	1
137	9	0.0900	2
138	5	0.0500	1
139	6	0.0600	2
140	3	0.0300	1
141	34	0.3400	1
142	6	0.0600	2
143	15	0.1500	1
144	4	0.0400	1
145	7	0.0700	1
146	6	0.0600	1
147	3	0.0300	2
148	10	0.1000	2
149	7	0.0700	1
150	1	0.0100	1
151	39	0.3900	3
152	6	0.0600	1
153	9	0.0900	1
154	4	0.0400	1
155	1	0.0100	1
156	2	0.0200	1
157	3	0.0300	1
158	6	0.0600	1
159	6	0.0600	2
160	4	0.0400	1
161	5	0.0500	1
162	14	0.1400	1
163	13	0.1300	1
164	3	0.0300	1
165	2	0.0200	1
166	29	0.2900	2
167	1	0.0100	1
168	2	0.0200	1
169	1	0.0100	1
170	1	0.0100	2
171	22	0.2200	2
172	4	0.0400	1
173	1	0.0100	1
174	3	0.0300	1
175	1	0.0100	1
176	9	0.0900	2
177	12	0.1200	2
178	3	0.0300	1
179	11	0.1100	2
180	15	0.1500	1
181	1	0.0100	1
182	23	0.2300	2
183	1	0.0100	1
184	5	0.0500	1
185	3	0.0300	1
186	47	0.4700	2
187	13	0.1300	1
188	7	0.0700	1
189	12	0.1200	2
190	19	0.1900	1
191	6	0.0600	1
192	15	0.1500	2
193	15	0.1500	1
194	1	0.0100	1
195	2	0.0200	1
196	4	0.0400	2
197	7	0.0700	1
198	1	0.0100	1
199	37	0.3700	2
200	2	0.0200	1
201	16	0.1600	1
202	3	0.0300	1
203	26	0.2600	3
204	5	0.0500	1
205	1	0.0100	1
206	4	0.0400	2
207	3	0.0300	1
208	10	0.1000	1
209	2	0.0200	1
210	3	0.0300	1
211	9	0.0900	1
212	3	0.0300	1
213	2	0.0200	1
214	6	0.0600	1
215	6	0.0600	1
216	4	0.0400	1
217	1	0.0100	1
218	6	0.0600	1
219	6	0.0600	1
220	5	0.0500	1
221	17	0.1700	1
222	1	0.0100	1
223	43	0.4300	2
224	15	0.1500	2
225	35	0.3500	1
226	10	0.1000	1
227	2	0.0200	1
228	29	0.2900	2
229	2	0.0200	1
230	3	0.0300	1
231	4	0.0400	2
232	8	0.0800	2
233	59	0.5900	3
234	42	0.4200	3
235	9	0.0900	1
236	1	0.0100	1
237	9	0.0900	2
238	8	0.0800	1
239	2	0.0200	1
240	9	0.0900	1
241	15	0.1500	1
242	27	0.2700	1
243	9	0.0900	1
244	16	0.1600	6
245	40	0.4000	3
246	4	0.0400	2
247	1	0.0100	1
248	44	0.4400	1
249	12	0.1200	1
250	16	0.1600	2
251	10	0.1000	1
252	2	0.0200	1
