# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
100	1.0000		956	44
200	2.0000		726	274
300	3.0000		302	698
400	4.0000		125	875
500	5.0000		109	891
600	6.0000		128	872
700	7.0000		114	886
800	8.0000		121	879
900	9.0000		123	877
1000	10.0000		101	899
1100	11.0000		119	881
1200	12.0000		120	880
1300	13.0000		124	876
1400	14.0000		111	889
1500	15.0000		125	875
1600	16.0000		126	874
1700	17.0000		123	877
1800	18.0000		137	863
1900	19.0000		135	865
2000	20.0000		126	874
2100	21.0000		120	880
2200	22.0000		121	879
2300	23.0000		111	889
2400	24.0000		144	856
2500	25.0000		105	895
2600	26.0000		133	867
2700	27.0000		129	871
2800	28.0000		124	876
2900	29.0000		112	888
3000	30.0000		153	847
3100	31.0000		122	878
3200	32.0000		124	876
3300	33.0000		124	876
3400	34.0000		105	895
3500	35.0000		114	886
3600	36.0000		134	866
3700	37.0000		118	882
3800	38.0000		133	867
3900	39.0000		122	878
4000	40.0000		124	876
4100	41.0000		129	871
4200	42.0000		116	884
4300	43.0000		107	893
4400	44.0000		131	869
4500	45.0000		128	872
4600	46.0000		127	873
4700	47.0000		135	865
4800	48.0000		103	897
4900	49.0000		137	863
5000	50.0000		124	876
5100	51.0000		119	881
5200	52.0000		130	870
5300	53.0000		137	863
5400	54.0000		117	883
5500	55.0000		122	878
5600	56.0000		151	849
5700	57.0000		126	874
5800	58.0000		133	867
5900	59.0000		122	878
6000	60.0000		120	880
6100	61.0000		106	894
6200	62.0000		125	875
6300	63.0000		126	874
6400	64.0000		106	894
6500	65.0000		133	867
6600	66.0000		116	884
6700	67.0000		132	868
6800	68.0000		121	879
6900	69.0000		114	886
7000	70.0000		108	892
7100	71.0000		145	855
7200	72.0000		108	892
7300	73.0000		131	869
7400	74.0000		130	870
7500	75.0000		136	864
7600	76.0000		125	875
7700	77.0000		113	887
7800	78.0000		140	860
7900	79.0000		136	864
8000	80.0000		122	878
8100	81.0000		127	873
8200	82.0000		131	869
8300	83.0000		140	860
8400	84.0000		130	870
8500	85.0000		132	868
8600	86.0000		131	869
8700	87.0000		141	859
8800	88.0000		120	880
8900	89.0000		148	852
9000	90.0000		119	881
9100	91.0000		136	864
9200	92.0000		127	873
9300	93.0000		136	864
9400	94.0000		140	860
9500	95.0000		117	883
9600	96.0000		118	882
9700	97.0000		108	892
9800	98.0000		112	888
9900	99.0000		122	878
10000	100.0000		135	865
10100	101.0000		146	854
10200	102.0000		137	863
10300	103.0000		129	871
10400	104.0000		129	871
10500	105.0000		123	877
10600	106.0000		127	873
10700	107.0000		127	873
10800	108.0000		133	867
10900	109.0000		120	880
11000	110.0000		139	861
11100	111.0000		110	890
11200	112.0000		133	867
11300	113.0000		118	882
11400	114.0000		120	880
11500	115.0000		99	901
11600	116.0000		129	871
11700	117.0000		121	879
11800	118.0000		117	883
11900	119.0000		120	880
12000	120.0000		132	868
12100	121.0000		127	873
12200	122.0000		122	878
12300	123.0000		132	868
12400	124.0000		134	866
12500	125.0000		144	856
12600	126.0000		122	878
12700	127.0000		120	880
12800	128.0000		121	879
12900	129.0000		125	875
13000	130.0000		113	887
13100	131.0000		123	877
13200	132.0000		119	881
13300	133.0000		139	861
13400	134.0000		120	880
13500	135.0000		121	879
13600	136.0000		100	900
13700	137.0000		140	860
13800	138.0000		134	866
13900	139.0000		94	906
14000	140.0000		120	880
14100	141.0000		122	878
14200	142.0000		118	882
14300	143.0000		124	876
14400	144.0000		121	879
14500	145.0000		121	879
14600	146.0000		127	873
14700	147.0000		105	895
14800	148.0000		148	852
14900	149.0000		145	855
15000	150.0000		122	878
15100	151.0000		135	865
15200	152.0000		122	878
15300	153.0000		137	863
15400	154.0000		125	875
15500	155.0000		135	865
15600	156.0000		129	871
15700	157.0000		136	864
15800	158.0000		115	885
15900	159.0000		116	884
16000	160.0000		128	872
16100	161.0000		107	893
16200	162.0000		108	892
16300	163.0000		120	880
16400	164.0000		129	871
16500	165.0000		111	889
16600	166.0000		132	868
16700	167.0000		115	885
16800	168.0000		116	884
16900	169.0000		121	879
17000	170.0000		133	867
17100	171.0000		94	906
17200	172.0000		116	884
17300	173.0000		112	888
17400	174.0000		116	884
17500	175.0000		140	860
17600	176.0000		122	878
17700	177.0000		132	868
17800	178.0000		122	878
17900	179.0000		113	887
18000	180.0000		131	869
18100	181.0000		127	873
18200	182.0000		116	884
18300	183.0000		120	880
18400	184.0000		127	873
18500	185.0000		121	879
18600	186.0000		126	874
18700	187.0000		123	877
18800	188.0000		107	893
18900	189.0000		122	878
19000	190.0000		134	866
19100	191.0000		125	875
19200	192.0000		132	868
19300	193.0000		128	872
19400	194.0000		117	883
19500	195.0000		134	866
19600	196.0000		133	867
19700	197.0000		134	866
19800	198.0000		111	889
19900	199.0000		118	882
20000	200.0000		119	881
20100	201.0000		132	868
20200	202.0000		102	898
20300	203.0000		139	861
20400	204.0000		137	863
20500	205.0000		123	877
20600	206.0000		123	877
20700	207.0000		122	878
20800	208.0000		126	874
20900	209.0000		148	852
21000	210.0000		101	899
21100	211.0000		123	877
21200	212.0000		134	866
21300	213.0000		145	855
21400	214.0000		117	883
21500	215.0000		108	892
21600	216.0000		141	859
21700	217.0000		125	875
21800	218.0000		132	868
21900	219.0000		128	872
22000	220.0000		126	874
22100	221.0000		134	866
22200	222.0000		146	854
22300	223.0000		116	884
22400	224.0000		136	864
22500	225.0000		151	849
22600	226.0000		136	864
22700	227.0000		97	903
22800	228.0000		118	882
22900	229.0000		140	860
23000	230.0000		121	879
23100	231.0000		119	881
23200	232.0000		115	885
23300	233.0000		108	892
23400	234.0000		122	878
23500	235.0000		121	879
23600	236.0000		133	867
23700	237.0000		137	863
23800	238.0000		125	875
23900	239.0000		139	861
24000	240.0000		140	860
24100	241.0000		145	855
24200	242.0000		123	877
24300	243.0000		120	880
24400	244.0000		127	873
24500	245.0000		119	881
24600	246.0000		123	877
24700	247.0000		125	875
24800	248.0000		134	866
24900	249.0000		123	877
25000	250.0000		135	865
25100	251.0000		129	871
25200	252.0000		108	892
25300	253.0000		131	869
25400	254.0000		144	856
25500	255.0000		102	898
25600	256.0000		121	879
25700	257.0000		99	901
25800	258.0000		128	872
25900	259.0000		134	866
26000	260.0000		128	872
26100	261.0000		132	868
26200	262.0000		114	886
26300	263.0000		130	870
26400	264.0000		137	863
26500	265.0000		132	868
26600	266.0000		136	864
26700	267.0000		119	881
26800	268.0000		138	862
26900	269.0000		116	884
27000	270.0000		124	876
27100	271.0000		131	869
27200	272.0000		133	867
27300	273.0000		110	890
27400	274.0000		125	875
