# Step	Time	mean_S	stderr_S	mean_I	stderr_I
0	0.0000	999.000000	0.000000	1.000000	0.000000
100	1.0000	989.980000	1.369815	10.020000	1.369815
200	2.0000	967.520000	4.011208	32.480000	4.011208
300	3.0000	932.960000	7.204996	67.040000	7.204996
400	4.0000	879.720000	11.849221	120.280000	11.849221
500	5.0000	803.680000	18.308740	196.320000	18.308740
600	6.0000	707.280000	25.910477	292.720000	25.910477
700	7.0000	600.500000	32.837165	399.500000	32.837165
800	8.0000	516.360000	37.295960	483.640000	37.295960
900	9.0000	452.640000	40.128860	547.360000	40.128860
1000	10.0000	417.840000	41.450215	582.160000	41.450215
1100	11.0000	404.800000	42.161765	595.200000	42.161765
1200	12.0000	401.020000	42.396184	598.980000	42.396184
1300	13.0000	395.920000	42.768987	604.080000	42.768987
1400	14.0000	395.400000	42.802598	604.600000	42.802598
1500	15.0000	398.740000	42.559040	601.260000	42.559040
1600	16.0000	400.500000	42.447429	599.500000	42.447429
1700	17.0000	402.000000	42.329233	598.000000	42.329233
1800	18.0000	399.880000	42.483829	600.120000	42.483829
1900	19.0000	399.920000	42.470355	600.080000	42.470355
2000	20.0000	399.700000	42.513614	600.300000	42.513614
2100	21.0000	397.340000	42.669048	602.660000	42.669048
2200	22.0000	396.480000	42.714009	603.520000	42.714009
2300	23.0000	399.640000	42.510815	600.360000	42.510815
2400	24.0000	400.180000	42.449431	599.820000	42.449431
2500	25.0000	401.040000	42.410027	598.960000	42.410027
2600	26.0000	398.040000	42.612017	601.960000	42.612017
2700	27.0000	400.800000	42.407952	599.200000	42.407952
2800	28.0000	395.900000	42.764969	604.100000	42.764969
2900	29.0000	398.760000	42.553388	601.240000	42.553388
3000	30.0000	398.240000	42.614585	601.760000	42.614585
3100	31.0000	401.220000	42.376015	598.780000	42.376015
3200	32.0000	398.180000	42.597171	601.820000	42.597171
3300	33.0000	400.980000	42.400288	599.020000	42.400288
3400	34.0000	399.720000	42.495487	600.280000	42.495487
3500	35.0000	401.520000	42.363439	598.480000	42.363439
3600	36.0000	399.660000	42.511670	600.340000	42.511670
3700	37.0000	400.300000	42.446892	599.700000	42.446892
