# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Step	Time		S	I
0	0.0000		999	1
10	0.1000		997	3
20	0.2000		996	4
30	0.3000		995	5
40	0.4000		993	7
50	0.5000		986	14
60	0.6000		970	30
70	0.7000		961	39
80	0.8000		951	49
90	0.9000		940	60
100	1.0000		928	72
110	1.1000		909	91
120	1.2000		892	108
130	1.3000		870	130
140	1.4000		852	148
150	1.5000		825	175
160	1.6000		800	200
170	1.7000		777	223
180	1.8000		749	251
190	1.9000		714	286
200	2.0000		695	305
210	2.1000		649	351
220	2.2000		599	401
230	2.3000		539	461
240	2.4000		494	506
250	2.5000		446	554
260	2.6000		402	598
270	2.7000		348	652
280	2.8000		304	696
290	2.9000		258	742
300	3.0000		232	768
310	3.1000		192	808
320	3.2000		159	841
330	3.3000		146	854
340	3.4000		135	865
350	3.5000		133	867
360	3.6000		136	864
370	3.7000		110	890
380	3.8000		108	892
390	3.9000		108	892
400	4.0000		124	876
410	4.1000		131	869
420	4.2000		125	875
430	4.3000		132	868
440	4.4000		122	878
450	4.5000		119	881
460	4.6000		129	871
470	4.7000		131	869
480	4.8000		138	862
490	4.9000		116	884
500	5.0000		115	885
510	5.1000		131	869
520	5.2000		127	873
530	5.3000		124	876
540	5.4000		111	889
550	5.5000		115	885
560	5.6000		102	898
570	5.7000		108	892
580	5.8000		104	896
590	5.9000		126	874
600	6.0000		132	868
610	6.1000		140	860
620	6.2000		120	880
630	6.3000		126	874
640	6.4000		130	870
650	6.5000		140	860
660	6.6000		136	864
670	6.7000		136	864
680	6.8000		115	885
690	6.9000		132	868
700	7.0000		130	870
710	7.1000		122	878
720	7.2000		129	871
730	7.3000		142	858
740	7.4000		112	888
750	7.5000		116	884
760	7.6000		123	877
770	7.7000		138	862
780	7.8000		137	863
790	7.9000		127	873
800	8.0000		129	871
810	8.1000		126	874
820	8.2000		132	868
830	8.3000		123	877
840	8.4000		127	873
